17,0,10,8,13,14,1,3,15,4,12,9,16,7,6,2,5,11
11,12,14,5,3,7,10,2,9,6,15,4,16,0,13,8,1,17
1,14,12,4,0,9,15,16,13,7,6,8,3,11,2,5,10,17
7,11,3,16,13,2,8,10,9,14,1,17,12,15,5,6,4,0
15,14,7,3,4,2,6,12,9,0,16,8,10,13,1,11,5,17
3,4,12,2,9,5,14,13,16,8,10,7,11,0,15,6,1,17
12,6,16,3,10,15,1,13,9,2,8,17,14,5,4,7,11,0
12,6,16,3,10,15,1,13,9,2,8,17,14,5,4,7,11,0
12,6,16,3,10,15,1,13,9,2,8,17,14,5,4,7,11,0
3,15,1,11,6,12,5,16,13,2,0,9,14,4,8,7,10,17
3,2,4,15,9,12,16,11,8,0,10,6,13,14,1,7,5,17
15,14,7,3,4,2,6,12,9,0,16,8,10,13,1,11,5,17
15,6,9,3,5,1,14,12,4,11,16,13,17,2,8,7,0,10
2,14,10,7,0,11,15,6,13,12,1,9,4,5,3,16,8,17
7,11,3,16,13,2,8,10,9,14,1,17,12,15,5,6,4,0
14,13,2,4,12,0,7,8,6,9,3,16,1,10,5,15,11,17
17,0,3,9,11,12,7,14,1,15,13,5,2,10,6,16,4,8
10,2,9,7,6,16,12,0,14,11,1,5,13,15,8,3,4,17
0,17,8,6,9,4,13,7,3,2,10,11,15,5,12,1,14,16
17,2,13,7,8,15,1,5,11,14,3,16,6,4,0,10,12,9
15,6,9,3,5,1,14,12,4,11,16,13,17,2,8,7,0,10
11,12,14,5,3,7,10,2,9,6,15,4,16,0,13,8,1,17
17,5,12,6,14,9,10,2,15,1,0,11,4,8,13,16,7,3
14,13,2,4,12,0,7,8,6,9,3,16,1,10,5,15,11,17
12,6,16,3,10,15,1,13,9,2,8,17,14,5,4,7,11,0
14,13,2,4,12,0,7,8,6,9,3,16,1,10,5,15,11,17
14,13,2,4,12,0,7,8,6,9,3,16,1,10,5,15,11,17
17,0,10,8,13,14,1,3,15,4,12,9,16,7,6,2,5,11
0,17,8,6,9,4,13,7,3,2,10,11,15,5,12,1,14,16
7,11,3,16,13,2,8,10,9,14,1,17,12,15,5,6,4,0
1,14,12,4,0,9,15,16,13,7,6,8,3,11,2,5,10,17
17,0,10,8,13,14,1,3,15,4,12,9,16,7,6,2,5,11
13,3,14,6,8,1,4,16,17,5,10,7,2,12,11,9,15,0
3,15,1,11,6,12,5,16,13,2,0,9,14,4,8,7,10,17
1,3,13,6,7,2,8,4,17,15,5,12,11,16,10,14,0,9
2,14,10,7,0,11,15,6,13,12,1,9,4,5,3,16,8,17
11,12,14,5,3,7,10,2,9,6,15,4,16,0,13,8,1,17
15,6,9,3,5,1,14,12,4,11,16,13,17,2,8,7,0,10
13,3,14,6,8,1,4,16,17,5,10,7,2,12,11,9,15,0
17,2,9,13,3,15,6,11,12,4,1,14,16,5,0,10,8,7
1,3,13,6,7,2,8,4,17,15,5,12,11,16,10,14,0,9
1,3,13,6,7,2,8,4,17,15,5,12,11,16,10,14,0,9
15,6,9,3,5,1,14,12,4,11,16,13,17,2,8,7,0,10
1,9,6,12,15,5,14,16,8,7,3,13,17,10,4,11,2,0
0,15,9,8,5,13,3,7,2,4,10,11,14,6,16,12,17,1
17,1,2,5,0,14,11,9,16,15,7,3,8,10,4,13,6,12
7,11,3,16,13,2,8,10,9,14,1,17,12,15,5,6,4,0
1,14,12,4,0,9,15,16,13,7,6,8,3,11,2,5,10,17
7,11,3,16,13,2,8,10,9,14,1,17,12,15,5,6,4,0
14,13,2,4,12,0,7,8,6,9,3,16,1,10,5,15,11,17
17,0,10,8,13,14,1,3,15,4,12,9,16,7,6,2,5,11
3,7,16,13,8,4,11,0,1,15,2,10,9,14,6,12,5,17
17,0,3,9,11,12,7,14,1,15,13,5,2,10,6,16,4,8
14,12,5,15,7,3,0,1,16,6,11,2,8,10,9,4,13,17
17,7,5,0,10,14,11,3,15,2,1,4,9,16,12,13,6,8
1,3,13,6,7,2,8,4,17,15,5,12,11,16,10,14,0,9
15,6,9,3,5,1,14,12,4,11,16,13,17,2,8,7,0,10
17,0,3,9,11,12,7,14,1,15,13,5,2,10,6,16,4,8
0,15,9,8,5,13,3,7,2,4,10,11,14,6,16,12,17,1
15,6,9,3,5,1,14,12,4,11,16,13,17,2,8,7,0,10
15,6,9,3,5,1,14,12,4,11,16,13,17,2,8,7,0,10
2,14,10,7,0,11,15,6,13,12,1,9,4,5,3,16,8,17
15,6,9,3,5,1,14,12,4,11,16,13,17,2,8,7,0,10
17,4,10,9,7,15,11,14,3,12,5,2,6,16,0,1,13,8
17,4,10,9,7,15,11,14,3,12,5,2,6,16,0,1,13,8
17,0,3,9,11,12,7,14,1,15,13,5,2,10,6,16,4,8
1,14,12,4,0,9,15,16,13,7,6,8,3,11,2,5,10,17
15,6,9,3,5,1,14,12,4,11,16,13,17,2,8,7,0,10
14,12,5,15,7,3,0,1,16,6,11,2,8,10,9,4,13,17
7,11,3,16,13,2,8,10,9,14,1,17,12,15,5,6,4,0
17,0,3,9,11,12,7,14,1,15,13,5,2,10,6,16,4,8
14,12,5,15,7,3,0,1,16,6,11,2,8,10,9,4,13,17
2,14,10,7,0,11,15,6,13,12,1,9,4,5,3,16,8,17
17,6,5,12,10,7,0,9,15,3,16,11,1,2,4,14,8,13
17,7,5,0,10,14,11,3,15,2,1,4,9,16,12,13,6,8
3,4,12,2,9,5,14,13,16,8,10,7,11,0,15,6,1,17
1,14,12,4,0,9,15,16,13,7,6,8,3,11,2,5,10,17
13,16,3,0,1,5,15,11,9,4,10,12,2,7,6,14,8,17
0,15,9,8,5,13,3,7,2,4,10,11,14,6,16,12,17,1
12,6,16,3,10,15,1,13,9,2,8,17,14,5,4,7,11,0
10,12,2,7,8,5,16,9,15,6,1,13,11,14,0,4,3,17
3,2,4,15,9,12,16,11,8,0,10,6,13,14,1,7,5,17
0,17,8,6,9,4,13,7,3,2,10,11,15,5,12,1,14,16
17,0,3,9,11,12,7,14,1,15,13,5,2,10,6,16,4,8
3,7,16,13,8,4,11,0,1,15,2,10,9,14,6,12,5,17
1,3,13,6,7,2,8,4,17,15,5,12,11,16,10,14,0,9
1,3,13,6,7,2,8,4,17,15,5,12,11,16,10,14,0,9
17,0,3,9,11,12,7,14,1,15,13,5,2,10,6,16,4,8
0,17,8,6,9,4,13,7,3,2,10,11,15,5,12,1,14,16
3,4,12,2,9,5,14,13,16,8,10,7,11,0,15,6,1,17
1,14,12,4,0,9,15,16,13,7,6,8,3,11,2,5,10,17
