11,5,1,7,2,6,9,10,12,4,3,0,8
1,3,7,4,10,2,12,11,6,0,5,8,9
12,0,10,7,1,6,5,9,11,2,8,3,4
6,0,5,2,10,8,4,11,1,3,9,12,7
8,5,0,4,6,11,9,12,2,3,10,1,7
12,6,7,10,1,3,2,8,0,5,9,4,11
10,0,5,6,8,2,9,1,7,3,12,11,4
8,12,5,6,0,2,1,4,10,7,3,11,9
7,4,3,5,9,10,2,12,0,6,11,1,8
2,7,0,6,8,9,12,4,1,5,3,11,10
10,12,1,5,0,3,9,8,6,2,7,4,11
7,8,3,5,11,0,12,4,1,6,10,9,2
4,8,10,7,6,1,9,5,11,2,12,0,3
4,11,0,6,8,9,12,7,3,1,5,10,2
1,5,8,2,7,0,12,10,6,3,9,4,11
0,10,9,11,5,2,8,6,1,4,12,3,7
7,0,6,4,12,1,8,3,2,11,5,9,10
6,1,3,4,12,9,0,5,11,7,10,8,2
11,2,7,9,6,12,1,0,3,10,8,4,5
2,9,10,6,4,8,7,12,5,0,11,1,3
3,12,5,7,4,11,10,0,8,9,1,6,2
2,7,8,4,11,5,9,1,0,10,12,3,6
4,0,7,6,12,10,11,8,2,5,9,1,3
12,7,6,3,1,9,10,0,2,8,4,11,5
5,9,7,6,2,11,1,4,10,12,0,8,3
0,1,9,4,10,12,3,6,2,11,8,7,5
11,0,12,6,5,2,4,9,1,7,3,10,8
9,0,2,5,10,11,4,12,1,8,3,7,6
7,1,8,4,10,12,2,3,11,9,6,5,0
7,2,10,6,9,0,4,11,12,1,3,8,5
7,11,8,6,0,2,3,12,5,1,4,10,9
4,12,5,8,7,3,10,1,2,0,9,11,6
10,1,8,6,2,5,11,0,4,3,12,7,9
4,11,8,7,2,12,1,9,10,0,5,3,6
4,1,3,8,9,12,6,10,2,11,7,5,0
5,3,9,6,7,1,12,0,8,10,2,11,4
0,9,1,4,11,10,3,7,5,6,8,2,12
6,10,8,7,2,3,9,12,0,5,1,11,4
6,9,1,7,4,8,3,10,0,2,12,11,5
12,5,11,1,8,2,3,7,6,9,4,0,10
6,5,7,2,9,0,12,10,3,4,8,11,1
4,10,9,6,7,1,11,2,0,12,8,3,5
8,10,5,6,0,7,12,1,4,3,11,9,2
12,4,7,11,5,0,2,1,10,6,3,8,9
11,7,8,3,1,9,2,12,0,6,5,10,4
0,7,9,10,5,3,11,4,8,2,12,1,6
7,5,0,4,3,11,12,9,1,6,2,8,10
12,11,9,4,0,7,1,2,6,8,5,10,3
8,2,6,5,1,11,12,3,0,7,9,4,10
